eval,score,best
218,307.0264119452083,307.0264119452083
219,307.0264119452083,307.0264119452083
220,307.0264119452083,307.0264119452083
221,307.0264119452083,307.0264119452083
222,307.0264119452083,307.0264119452083
223,307.0264119452083,307.0264119452083
224,307.0264119452083,307.0264119452083
225,307.0264119452083,307.0264119452083
226,307.0264119452083,307.0264119452083
227,307.0264119452083,307.0264119452083
228,307.0264119452083,307.0264119452083
229,307.0264119452083,307.0264119452083
230,307.0264119452083,307.0264119452083
231,307.0264119452083,307.0264119452083
232,307.0264119452083,307.0264119452083
233,307.0264119452083,307.0264119452083
234,307.0264119452083,307.0264119452083
235,307.0264119452083,307.0264119452083
236,307.0264119452083,307.0264119452083
237,307.0264119452083,307.0264119452083
238,307.0264119452083,307.0264119452083
239,307.0264119452083,307.0264119452083
240,307.0264119452083,307.0264119452083
241,307.0264119452083,307.0264119452083
242,307.0264119452083,307.0264119452083
243,307.0264119452083,307.0264119452083
244,307.0264119452083,307.0264119452083
245,307.0264119452083,307.0264119452083
246,307.0264119452083,307.0264119452083
247,307.0264119452083,307.0264119452083
248,307.0264119452083,307.0264119452083
249,307.0264119452083,307.0264119452083
250,307.0264119452083,307.0264119452083
251,307.0264119452083,307.0264119452083
252,307.0264119452083,307.0264119452083
253,307.0264119452083,307.0264119452083
254,307.0264119452083,307.0264119452083
255,307.0264119452083,307.0264119452083
256,307.0264119452083,307.0264119452083
257,307.0264119452083,307.0264119452083
258,307.0264119452083,307.0264119452083
259,307.0264119452083,307.0264119452083
260,307.0264119452083,307.0264119452083
261,307.0264119452083,307.0264119452083
262,307.0264119452083,307.0264119452083
263,307.0264119452083,307.0264119452083
264,307.0264119452083,307.0264119452083
265,307.0264119452083,307.0264119452083
266,307.0264119452083,307.0264119452083
267,307.0264119452083,307.0264119452083
268,307.0264119452083,307.0264119452083
269,307.0264119452083,307.0264119452083
270,307.0264119452083,307.0264119452083
271,307.0264119452083,307.0264119452083
272,307.0264119452083,307.0264119452083
273,307.0264119452083,307.0264119452083
274,307.0264119452083,307.0264119452083
275,307.0264119452083,307.0264119452083
276,307.0264119452083,307.0264119452083
277,307.0264119452083,307.0264119452083
278,307.0264119452083,307.0264119452083
279,307.0264119452083,307.0264119452083
280,307.0264119452083,307.0264119452083
281,307.0264119452083,307.0264119452083
282,307.0264119452083,307.0264119452083
283,307.0264119452083,307.0264119452083
284,307.0264119452083,307.0264119452083
285,307.0264119452083,307.0264119452083
286,307.0264119452083,307.0264119452083
287,307.0264119452083,307.0264119452083
288,307.0264119452083,307.0264119452083
289,307.0264119452083,307.0264119452083
290,307.0264119452083,307.0264119452083
291,307.0264119452083,307.0264119452083
292,307.0264119452083,307.0264119452083
293,307.0264119452083,307.0264119452083
294,307.0264119452083,307.0264119452083
295,307.0264119452083,307.0264119452083
296,307.0264119452083,307.0264119452083
297,307.0264119452083,307.0264119452083
298,307.0264119452083,307.0264119452083
299,307.0264119452083,307.0264119452083
300,307.0264119452083,307.0264119452083
301,307.0264119452083,307.0264119452083
302,307.0264119452083,307.0264119452083
303,307.0264119452083,307.0264119452083
